FileName," ""Abstract""",Predicted Summary
S0010448513001802," ""Longest edge refinement algorithms were designed to iteratively refine the mesh for finite element applications by maintaining mesh quality . In this paper we improve geometrical results on longest edge refinement algorithms and provide precise bounds on the refinement propagation . We prove that the iterative application of the algorithm gradually reduces the average extent of the propagation per target triangle tending to affect only two triangles . We also include empirical results which are in complete agreement with the theory .""",In this paper we improve geometrical results on longest edge refinement algorithms and provide precise bounds on the refinement propagation.
S0010448513001681," ""The wide adoption of agile manufacturing systems has necessitated the design and use of fixtures or work holding devices that have in built flexibility to rapidly respond to part design changes . Despite the availability of reconfigurable fixtures practical fixture configuration largely remains an experience driven manual activity to enable customization for varying workpiece geometry and most automated solutions do not scale well to accommodate such variation . In this paper we address the problem of rapidly synthesizing a realistic fixture that will guarantee stability and immobility of a specified polyhedral work part . We propose that the problem of automated fixture layout may be approached in two distinct stages . First we determine the spatial locations of clamping points on the work piece boundary using the principles of force and form closure to ensure immobility of the fixtured part under external perturbation . In particular we show that the candidate restraints mapped to the six dimensional vector space of wrenches may be hashed in a straightforward manner to efficiently generate force closure configurations that restrain part movement against large external wrenches . When clamps are allowed to exert arbitrarily high reaction forces on the part the spatial arrangement of the clamping locations ensures the part is in form closure . On generating force form closure configurations the chosen locations are matched against a user specified library of reconfigurable clamps to synthesize a valid fixture layout comprising clamps that are accessible and collision free with each other and the part . Additionally in the case of determining machining setups the clamps are chosen to avoid collisions with the moving cutting tool . We demonstrate fast algorithms to perform both location selection and fixture matching and show several results that underscore the practical application of our solution in automated manufacturing process planning .""",On generating force form closure configurations the chosen locations are matched against a user specified library of reconfigurable clamps to synthesize a valid fixture layout comprising clamps that are accessible and collision free with each other and the part.
S0010448514000281," ""Ruled surfaces play an important role in many manufacturing and construction applications . In this work we explore a multi dimensional dynamic programming based ruled surface fitting scheme to a given freeform rational surface . Considering two initial opposite boundaries of sampled into a discrete piecewise linear polyline representation the ruled surface fitting problem is reduced to a pairing search between the polylines and elevations above the polylines in the normal directions of . A four dimensional dynamic programming solution is sought for the four dimensions prescribed by the two polylines and the two elevation levels along the surface normals . This multi dimensional dynamic programming is evaluated using highly parallel algorithms running on GPUs that ensures the best fit to the sampled data . In order to evaluate the fitting error with respect to we derive a scheme to compute a bound from above on the maximal error between a bilinear surface patch and its corresponding surface region on . Surface surface composition is employed to extract the corresponding surface region on to compare against . Finally the above ruled surface fitting approach is also extended into a discrete algorithm to find the non isoparametric subdivision curve on when a discrete recursive piecewise ruled surface fitting is considered . A five or seven dimensional dynamic programming solution is employed towards this end and once again surface surface composition is employed to extract the two subdivided patches as tensor products .""","A five or seven dimensional dynamic programming solution is employed towards this end and once again surface surface composition is employed to extract the two subdivided patches as tensor products."""
S0010448513001991," ""Design is an interactive and iterative process where the designer s skills and knowledge are fused with emotive rationales aided by design tools . A design solution is thus influenced by the designer s creativity experience and emotional perception . Consequently there is a need within computer aided design research for ubiquitous tools to capture the affective states of engineers during design activities to further understand the product design process . This paper proposes a generic framework for ubiquitous multimodal synchronous data capture based around the capture of CAD system activities to monitor and log a variety of inputs interactions biophysical data and design solutions with a view to providing meta and chronological performance data for post design task analysis . The framework has been employed in two use cases namely a CAD station activity and a collaborative design review . The results of these trials validated the architecture and use of the ubiquitous data capture approach demonstrating the practical application of time phased data capture analysis and the subsequent output of metadata in CAD environments providing a new perspective on and a new way of investigating CAD based design activities . This research also extrapolates the framework s usefulness into future CAD and PLM systems by arguing why and how they need to adopt such ubiquitous platforms . It also subjectively points to potential opportunities and issues that might arise when implementing the ubiquitous multimodal metadata architecture in a real life environment .""",The results of these trials validated the architecture and use of the ubiquitous data capture approach demonstrating the practical application of time phased data capture analysis and the subsequent output of metadata in CAD environments providing a new perspective on and a new way of investigating CAD based design activities.
S0010448513001255," ""Due to the compute intensiveness and the lack of robustness of the algorithms for reconstruction of meshes and spline surfaces from point clouds there is a need for further research in the topic of direct tool path planning based on point clouds . In this paper a novel approach for planning iso parametric tool path from a point cloud is presented . Since such planning falls into the iso parametric category it intrinsically depends on the parameterization of point clouds . Accordingly a point based conformal map is employed to build the parameterization . Based on it formulas of computing path parameters are derived which are much simpler than the conventional ones . By regularizing parameter domain and on the basis of the previous formulas boundary conformed tool path can be generated with forward and side step calculated against specified chord deviation and scallop height respectively . Experimental results are given to illustrate the effectiveness of the proposed methods .""","""Due to the compute intensiveness and the lack of robustness of the algorithms for reconstruction of meshes and spline surfaces from point clouds there is a need for further research in the topic of direct tool path planning based on point clouds."
S0010448513000821," ""Porous scaffolds with interconnected and continuous pores have recently been considered as one of the most successful tissue engineering strategies . In the literature it has been concluded that properly interconnected and continuous pores with their spatial distribution could contribute to perform diverse mechanical biological and chemical functions of a scaffold . Thus there has been a need for reproducible and fabricatable scaffold design with controllable and functional gradient porosity . Improvements in Additive Manufacturing processes for tissue engineering and their design methodologies have enabled the development of controlled and interconnected scaffold structures . However homogeneous scaffolds with uniform porosity do not capture the intricate spatial internal micro architecture of the replaced tissue and thus are not capable of capturing the design . In this work a novel heterogeneous scaffold modeling is proposed for layered based additive manufacturing processes . First layers are generated along the optimum build direction considering the heterogeneous micro structure of tissue . Each layer is divided into functional regions based on the spatial homogeneity factor . An area weight based method is developed to generate the spatial porosity function that determines the deposition pattern for the desired gradient porosity . To design a multi functional scaffold an optimum deposition angle is determined at each layer by minimizing the heterogeneity along the deposition path . The proposed methodology is implemented and illustrative examples are also provided . The effective porosity is compared between the proposed design and the conventional uniform porous scaffold design . Sample designed structures have also been fabricated with a novel micro nozzle biomaterial deposition system . The result has shown that the proposed methodology generates scaffolds with functionally gradient porosity .""",Improvements in Additive Manufacturing processes for tissue engineering and their design methodologies have enabled the development of controlled and interconnected scaffold structures. However homogeneous scaffolds with uniform porosity do not capture the intricate spatial internal micro architecture of the replaced tissue and thus are not capable of capturing the design.
S0010448513001978," ""The representation and management of product information in its life cycle require standardized data exchange protocols . ISO 10303 informally known as the Standard for Exchange of Product model data is such a standard that has been used widely by the industries . The information language used for STEP is EXPRESS . Even though the EXPRESS language is capable of developing well defined and syntactically correct product models the semantics of product data are represented implicitly . Hence it is difficult to interpret the semantics of data for different product life cycle phases for different application domains . OntoSTEP developed at NIST provides semantically enriched product models in OWL . In this paper we would like to present how to interpret the Geometric Dimensioning and Tolerancing specifications in STEP for tolerance analysis by utilizing OntoSTEP . This process requires developing the tolerance analysis oriented information model in EXPRESS combining this model with the ISO 10303 product model translating the combined model into OWL and defining semantic web rule language to map the GD T specifications to the specifications needed for the tolerance analysis . This study will help users interpret the GD T specifications of a product differently as required in different phases of the product s life cycle .""",This process requires developing the tolerance analysis oriented information model in EXPRESS combining this model with the ISO 10303 product model translating the combined model into OWL and defining semantic web rule language to map the GD T specifications to the specifications needed for the tolerance analysis.
S0010448513000833," ""3D CAD systems are used in product design for simultaneous engineering and to improve productivity . CAD tools can substantially enhance design performance . Although 3D CAD is a widely used and highly effective tool in mechanical design mastery of CAD skills is complex and time consuming . The concepts of parametric associative models and systems are powerful tools whose efficiency is proportional to the complexity of their implementation . The availability of a framework for actions that can be taken to improve CAD efficiency can therefore be highly beneficial . Today a clear and structured approach does not exist in this way for CAD methodology deployment . The novelty of this work is therefore to propose a general strategy for utilizing the advantages of parametric CAD in the automotive industry in the form of a roadmap . The main stages of the roadmap are illustrated by means of industrial use cases . The first results of his research are discussed and suggestions for future work are given .""",Although 3D CAD is a widely used and highly effective tool in mechanical design mastery of CAD skills is complex and time consuming.
S0010448513001693," ""The preparation of CAD models from complex assemblies for simulation purposes is a very time consuming and tedious process since many tasks such as meshing and idealization are still completed manually . Herein the detection and extraction of geometric interfaces between components of the assembly is of central importance not only for the simulation objectives but also for all necessary shape transformations such as idealizations or detail removals . It is a repetitive task in particular when complex assemblies have to be dealt with . This paper proposes a method to rapidly and fully automatically generate a precise geometric description of interfaces in generic B Rep CAD models . The approach combines an efficient GPU ray casting technique commonly used in computer graphics with a graph based curve extraction algorithm . Not only is it able to detect a large number of interfaces efficiently it also provides an accurate Nurbs geometry of the interfaces that can be stored in a plain STEP file for further downstream treatment . We demonstrate our approach on examples from aeronautics and automotive industry .""",Herein the detection and extraction of geometric interfaces between components of the assembly is of central importance not only for the simulation objectives but also for all necessary shape transformations such as idealizations or detail removals.
S0010448513000973," ""Being able to automatically mesh composite geometry is an important issue in the context of CAD FEA integration . In some specific contexts of this integration such as using virtual topology or meshing constraints topology it is even a key requirement . In this paper we present a new approach to automatic mesh generation over composite geometry . The proposed mesh generation approach is based on a generalization of the advancing front method over curved surfaces . The adaptation of the AFM to composite faces faces involves the computation of complex paths along these B Rep faces on which progression of the advancing front is based . Each mesh segment or mesh triangle generated through this progression on composite geometry is likely to lie on multiple B Rep faces and consequently it is likely to be associated with a composite definition across multiple parametric spaces . Collision tests between new front segments and existing mesh elements also require specific and significant adaptations of the AFM since a given front segment is also likely to lie on multiple B Rep faces . This new mesh generation approach is presented in the context of MCT which requires being able to handle composite geometry along with non manifold boundary configurations such as edges and vertices lying in the interior domain of B Rep faces .""",Collision tests between new front segments and existing mesh elements also require specific and significant adaptations of the AFM since a given front segment is also likely to lie on multiple B Rep faces.
S0010448513001024," ""In this paper we present a technique that combines motion planning and part interaction clusters to improve generation of assembly precedence constraints . In particular this technique automatically finds and clusters parts that can mutually affect each other s accessibility and hence may impose assembly constraints . This enables the generation of accurate precedence constraints without needing to examine all possible assembly sequences . Given an assembly model our technique generates potential disassembly layers spatial clustering is used to generate part sets . Next motion planning based on rapidly exploring random trees with multiple trees is used to evaluate the interaction between these part sets . Specifically motion planning is used to determine which part sets can be removed from the assembly . These sets are added to the first disassembly layer and removed from the assembly . Part sets that can be removed from the simplified assembly are then added to the second layer . If the process gets stuck parts in the parent set are regrouped and the process continues until all disassembly layers are found . The resulting structure reveals precedence relationships among part sets which can be used to generate feasible assembly sequences for each part set and the whole assembly . We present theoretical results related to the algorithms developed in the paper . Computational results from tests on a variety of assemblies are presented to illustrate our approach .""","""In this paper we present a technique that combines motion planning and part interaction clusters to improve generation of assembly precedence constraints."
S0010448513001504," ""ion of mid surfaces from solid models of thin walled parts is becoming a useful function for idealizing the solid models for engineering analysis . Various abstraction techniques have been developed and adapted to commercial CAD systems . However they are generally lacking in completeness and robustness . That is for some complex solid models valid mid surfaces are not created and mid surfaces which are created may not be valid or of little use in practice . Existing techniques utilize rules and heuristics in detecting appropriate face pairs and generating mid surface patches but these rules and heuristics often do not apply to complex solid models . To address this problem a divide and conquer approach to mid surface abstraction is proposed in this paper . A solid model is decomposed into simple volumes and mid surfaces of the simple volumes are abstracted . The mid surfaces of the simple volumes are then composed into the mid surfaces of the original solid model . The proposed method has been implemented and tested with practical examples . The results of case studies have been presented to attest to the usefulness of the proposed method . Some general issues on mid surface abstraction are also discussed .""",The mid surfaces of the simple volumes are then composed into the mid surfaces of the original solid model.
S0010448514000323," ""In this paper we present a multipoint machining method for the 5 axis machining of triangulated surfaces with radiused end mills . The main idea is to drop the tool onto the surface to find an initial point of contact and then rotate the tool while maintaining tangency with this initial point of contact until a second point of contact is found . The proposed procedure ensures a gouge free position with two points of contact allowing for a larger side step than a single point of contact method . This proof of concept paper presents the mathematical equations that must be solved to position the tool with two points of contacts on an STL surface . The paper further verifies the concept with simulations and presents experimental results to confirm the simulations .""",This proof of concept paper presents the mathematical equations that must be solved to position the tool with two points of contacts on an STL surface.
S0010448513001759," ""We present a geometric rounding algorithm for robustly implementing cascaded operations on polyhedra where the output of each operation is an input to the next operation . The rounding algorithm reduces the bit precision of the input and eliminates degeneracy . To do so it rounds coordinates to floating point and randomly perturbs them then prunes away invalid portions of the resulting polyhedron . We demonstrate the rounding algorithm on a packing algorithm with ten cascaded Minkowski sums and set operations .""","We demonstrate the rounding algorithm on a packing algorithm with ten cascaded Minkowski sums and set operations."""
S0010448513001401," ""This paper presents a swept surface for the geometric model of drawbeads mounted on curved surfaces . Vertical section sweeping is used for the swept surface . The section curves are the cross sections of the drawbeads and the shapes of the section curves are variable . Also the section planes are normal to the projection of the drawbead curve along the die opening direction . This paper presents a scheme for computing the variable vertical section curves and the smooth endings for the swept surface of a drawbead . The geometric model presented has a no undercut shape in the die opening direction and easily represents the smooth ending at ends of drawbeads .""",This paper presents a scheme for computing the variable vertical section curves and the smooth endings for the swept surface of a drawbead.
S0010448513001243," ""Engineering features are regular and simple shape units containing specific engineering significance . It is useful to combine feature design with structural optimization . This paper presents a generic method to design engineering features for level set based structural optimization . A Constructive Solid Geometry based Level Sets description is proposed to represent a structure based on two types of basic entities a level set model containing either a feature shape or a freeform boundary . By treating both entities implicitly and homogeneously the optimal design of engineering features and freeform boundary are unified under the level set framework . For feature models constrained affine transformations coupled with an accurate particle level set updating scheme are utilized to preserve feature characteristics where the design velocity approximates continuous shape variation via a least squares fitting . Meanwhile freeform models undergo a standard shape and topology optimization using a semi Lagrangian level set scheme . With this method various feature requirements can be translated into a CSGLS model and the constrained motion provides flexible mechanisms to design features at different stages of the model tree . As a result a truly optimal structure with engineering features can be created in a convenient way . Several numerical examples are provided to demonstrate the applicability and potential of this method .""",A Constructive Solid Geometry based Level Sets description is proposed to represent a structure based on two types of basic entities a level set model containing either a feature shape or a freeform boundary.
